responsible_discipline,notification_count,confirmed_defect_count,confirmed_defect_rate,converted_to_order_count,conversion_rate,confirmed_to_order_count,confirmed_to_order_rate,closed_without_order_count,closed_without_order_rate,confirmed_closed_without_order_count,confirmed_closed_without_order_rate,unconfirmed_closed_without_order_count,unconfirmed_closed_without_order_rate,recurrent_notification_count,recurrence_rate,reassigned_count,reassignment_rate,active_backlog_count,r1_r3_backlog_count,known_untreated_loss_event_count,known_untreated_loss_adt,post_maintenance_recurrence_event_count,post_maintenance_recurrence_loss_adt
Automation,78,64,0.820513,50,0.641026,49,0.765625,27,0.346154,15,0.192308,12,0.153846,8,0.102564,8,0.102564,1,0,4,506.29,3,1031.92
Condition Monitoring,102,97,0.950980,78,0.764706,78,0.804124,23,0.225490,18,0.176471,5,0.049020,7,0.068627,13,0.127451,5,0,4,721.71,1,206.74
Electrical,201,159,0.791045,145,0.721393,141,0.886792,56,0.278607,18,0.089552,38,0.189055,10,0.049751,7,0.034826,4,1,4,662.68,4,373.49
Hydraulics,16,13,0.812500,12,0.750000,12,0.923077,2,0.125000,0,0.000000,2,0.125000,9,0.562500,3,0.187500,3,2,3,1766.67,0,0.00
Instrumentation,291,227,0.780069,154,0.529210,145,0.638767,134,0.460481,80,0.274914,54,0.185567,41,0.140893,39,0.134021,9,2,17,9719.70,6,1273.11
Lubrication,87,75,0.862069,68,0.781609,68,0.906667,19,0.218391,7,0.080460,12,0.137931,1,0.011494,7,0.080460,3,1,2,206.79,3,1623.43
Mechanical,258,210,0.813953,169,0.655039,168,0.800000,84,0.325581,39,0.151163,45,0.174419,39,0.151163,20,0.077519,8,2,15,19597.22,5,1018.55
Valves,167,138,0.826347,63,0.377246,62,0.449275,102,0.610778,74,0.443114,28,0.167665,37,0.221557,20,0.119760,5,2,14,19461.98,2,1262.86
